# Troubleshooting

This troubleshooting provides information to solve unexpected issues that you may encounter when using the device.

| Category                                                                      | Problem                                                                                                                                                                                         | Solution                                                                                                                                                                                                                         |                                                                                                                                                                                                                              |
| ----------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Power                                                                         | The power is being supplied but the device does not operate.                                                                                                                                    | • If the terminal and the bracket are far away from each other, the device may not operate due to the temper switch. • Check the adapter or the power cable.                                                                     |                                                                                                                                                                                                                              |
| The terminal reboots abnormally.                                              | • Upgrade the terminal’s firmware to the latest version.                                                                                                                                        |                                                                                                                                                                                                                                  |                                                                                                                                                                                                                              |
| PIN                                                                           | I lost my PIN.                                                                                                                                                                                  | • For a normal user PIN, request it from the administrator and enter it again. • If you have lost the Admin PIN, contact the installation company.                                                                               |                                                                                                                                                                                                                              |
| I entered my PIN and pressed the OK button, but I still cannot open the door. | • Check if you have entered the registered PIN correctly. • Check if you have changed the PIN recently. • If you cannot remember the PIN, request it from the administrator and enter it again. |                                                                                                                                                                                                                                  |                                                                                                                                                                                                                              |
| Face                                                                          | The face has been registered but face authentication cannot be done smoothly, and errors occur frequently.                                                                                      | • Check Cautions for enrolling a face and register the face again. • If there are a large number of registered faces, change Matching Timeout and try again.                                                                     |                                                                                                                                                                                                                              |
| Face authentication has suddenly stopped working.                             | • Check Cautions for authenticating a face and try again.                                                                                                                                       |                                                                                                                                                                                                                                  |                                                                                                                                                                                                                              |
| Face                                                                          | Mask Detection is enabled, but face authentication cannot be done smoothly when wearing a mask.                                                                                                 | • Authenticate your face twice with the mask pulled down on the tip of your nose. Then, authenticate your face again wearing a mask that covers your nose completely. If the problem persists, contact the installation company. |                                                                                                                                                                                                                              |
| The thermal camera fails to measure temperature.                              | • Check if the thermal camera is properly connected to the terminal. • Measure the temperature again without covering your forehead. If the problem persists, contact the installation company. |                                                                                                                                                                                                                                  |                                                                                                                                                                                                                              |
| Door Lock                                                                     | The door cannot be locked when I close the door.                                                                                                                                                | • The electric lock may be malfunctioning. Have an inspection through the installation company.                                                                                                                                  |                                                                                                                                                                                                                              |
|                                                                               | Time                                                                                                                                                                                            | Suddenly the time has become incorrect.                                                                                                                                                                                          | • FaceStation F2 is equipped with a built-in battery but if power is not supplied for a long time, the built-in battery may die, causing the time to become incorrect. You can correct the time by referring to Date & Time. |
| Admin Access                                                                  | I lost my Admin PIN, so I cannot access the Admin mode.                                                                                                                                         | • The administrator grants access permission in FaceStation F2, so only the administrator can access the Admin menu. • If you have lost the Admin PIN, contact the installation company.                                         |                                                                                                                                                                                                                              |
